"table with row headers in column A and column headers in rows 3 through 5. (leading dots indicate sub-parts)","","","","","","","","",""
"Table 2. Cumulative Estimates of Resident Population Change for the United States, Regions, States, and Puerto Rico
and Region and State Rankings: April 1, 2010 to July 1, 2019","","","","","","","","",""
".Geographic Area","Population Estimate ","","Change, 2010 to 2019","","National Ranking of Regions and States","","","",""
"","","","","","Population Estimate ","","Change, 2010 to 2019","",""
"","April 1, 2010 Estimates Base","July 1, 2019","Number","Percent","April 1, 2010 Estimates Base","July 1, 2019","Number","Percent",""
"United States","308,758,105","328,239,523","19,481,418","6.3","(X)","(X)","(X)","(X)",""
"Northeast","55,318,443","55,982,803","664,360","1.2","4","4","4","4",""
"Midwest","66,929,725","68,329,004","1,399,279","2.1","3","3","3","3",""
"South","114,563,030","125,580,448","11,017,418","9.6","1","1","1","1",""
"West","71,946,907","78,347,268","6,400,361","8.9","2","2","2","2",""
".Alabama","4,780,125","4,903,185","123,060","2.6","23","24","25","34",""
".Alaska","710,249","731,545","21,296","3.0","47","48","43","31",""
".Arizona","6,392,288","7,278,717","886,429","13.9","16","14","7","8",""
".Arkansas","2,916,031","3,017,804","101,773","3.5","32","33","31","29",""
".California","37,254,519","39,512,223","2,257,704","6.1","1","1","3","21",""
".Colorado","5,029,319","5,758,736","729,417","14.5","22","21","8","4",""
".Connecticut","3,574,147","3,565,287","-8,860","-0.2","29","29","49","48",""
".Delaware","897,937","973,764","75,827","8.4","45","45","36","16",""
".District of Columbia","601,767","705,749","103,982","17.3","50","49","29","1",""
".Florida","18,804,564","21,477,737","2,673,173","14.2","4","3","2","5",""
".Georgia","9,688,729","10,617,423","928,694","9.6","9","8","5","14",""
".Hawaii","1,360,307","1,415,872","55,565","4.1","40","40","40","26",""
".Idaho","1,567,657","1,787,065","219,408","14.0","39","39","19","7",""
".Illinois","12,831,572","12,671,821","-159,751","-1.2","5","6","51","50",""
".Indiana","6,484,051","6,732,219","248,168","3.8","15","17","18","27",""
".Iowa","3,046,871","3,155,070","108,199","3.6","30","31","27","28",""
".Kansas","2,853,123","2,913,314","60,191","2.1","33","35","39","38",""
".Kentucky","4,339,333","4,467,673","128,340","3.0","26","26","24","32",""
".Louisiana","4,533,487","4,648,794","115,307","2.5","25","25","26","35",""
".Maine","1,328,358","1,344,212","15,854","1.2","41","42","44","41",""
".Maryland","5,773,794","6,045,680","271,886","4.7","19","19","17","25",""
".Massachusetts","6,547,785","6,892,503","344,718","5.3","14","15","15","24",""
".Michigan","9,884,116","9,986,857","102,741","1.0","8","10","30","42",""
".Minnesota","5,303,927","5,639,632","335,705","6.3","21","22","16","20",""
".Mississippi","2,968,130","2,976,149","8,019","0.3","31","34","46","47",""
".Missouri","5,988,950","6,137,428","148,478","2.5","18","18","22","36",""
".Montana","989,407","1,068,778","79,371","8.0","44","43","35","17",""
".Nebraska","1,826,305","1,934,408","108,103","5.9","38","37","28","22",""
".Nevada","2,700,677","3,080,156","379,479","14.1","35","32","14","6",""
".New Hampshire","1,316,462","1,359,711","43,249","3.3","42","41","41","30",""
".New Jersey","8,791,978","8,882,190","90,212","1.0","11","11","33","43",""
".New Mexico","2,059,199","2,096,829","37,630","1.8","36","36","42","39",""
".New York","19,378,144","19,453,561","75,417","0.4","3","4","37","46",""
".North Carolina","9,535,751","10,488,084","952,333","10.0","10","9","4","13",""
".North Dakota","672,576","762,062","89,486","13.3","48","47","34","9",""
".Ohio","11,536,751","11,689,100","152,349","1.3","7","7","21","40",""
".Oklahoma","3,751,582","3,956,971","205,389","5.5","28","28","20","23",""
".Oregon","3,831,079","4,217,737","386,658","10.1","27","27","13","12",""
".Pennsylvania","12,702,868","12,801,989","99,121","0.8","6","5","32","44",""
".Rhode Island","1,052,964","1,059,361","6,397","0.6","43","44","47","45",""
".South Carolina","4,625,366","5,148,714","523,348","11.3","24","23","10","11",""
".South Dakota","814,198","884,659","70,461","8.7","46","46","38","15",""
".Tennessee","6,346,276","6,829,174","482,898","7.6","17","16","11","18",""
".Texas","25,146,091","28,995,881","3,849,790","15.3","2","2","1","3",""
".Utah","2,763,891","3,205,958","442,067","16.0","34","30","12","2",""
".Vermont","625,737","623,989","-1,748","-0.3","49","50","48","49",""
".Virginia","8,001,049","8,535,519","534,470","6.7","12","12","9","19",""
".Washington","6,724,540","7,614,893","890,353","13.2","13","13","6","10",""
".West Virginia","1,853,018","1,792,147","-60,871","-3.3","37","38","50","51",""
".Wisconsin","5,687,285","5,822,434","135,149","2.4","20","20","23","37",""
".Wyoming","563,775","578,759","14,984","2.7","51","51","45","33",""
"","","","","","","","","",""
"Puerto Rico","3,726,157","3,193,694","-532,463","-14.3","(X)","(X)","(X)","(X)",""
"Dash (-) represents zero or rounds to zero. ","","","","","","","","",""
"(X) Not applicable.","","","","","","","","",""
"Note: The estimates are based on the 2010 Census and reflect changes to the April 1, 2010 population due to the Count Question Resolution program and geographic program revisions.  See Geographic Terms and Definitions at http://www.census.gov/programs-surveys/popest/guidance-geographies/terms-and-definitions.html for a list of the states that are included in each region. All geographic boundaries for the 2019 population estimates series except statistical area delineations are as of January 1, 2019.  For population estimates methodology statements, see http://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html.","","","","","","","","",""
"Suggested Citation:","","","","","","","","",""
"Table 2. Cumulative Estimates of Resident Population Change for the United States, Regions, States, and Puerto Rico and Region and State Rankings: April 1, 2010 to July 1, 2019 (NST-EST2019-02)","","","","","","","","",""
"Source: U.S. Census Bureau, Population Division","","","","","","","","",""
"Release Date: December 2019","","","","","","","","",""
