asciiname	country code	place_queried	geonameid	hierarchy	feature code	latitude	longitude	admin1 code	admin2 code	population	synonyms
accra	GH	{'accra-ghana'}	2306104	4	PPLC	5.556019999999999	-0.1969	01	304	1963264.0	{'άκκρα', 'akrao', 'ଆକ୍ରା', 'أكرا', 'xak kra', 'আক্রা', 'аккра', 'akkra', 'അക്ര', 'அக்ரா', 'akkr', 'yەkra', 'اکرا', 'accra-ghana.', 'ਅਕਰਾ', 'акра', 'ཨ་ཁ་ར།', 'akura', 'aakrá', 'accra-ghana ', 'აკრა', 'աքրա', 'عکرہ', 'a ke la', 'आक्रा', 'अक्रा', 'аккрæ', '΄aκκρα', 'akʻra', 'akeula', 'อักกรา', 'akara', 'アクラ', 'nkran', 'אקרה', 'اكرا', 'akkrae', '阿克拉', 'accra', 'accra-ghana', 'aakra', 'acc', 'አክራ', 'akra', '아크라', 'אקרא', 'ئەکرا', 'acra', 'آکرا', 'အက်ခရာမြို့'}
anaheim	US	{'disneyland'}	5323810	9	PPL	33.83529	-117.9145	CA	059	350742.0	"{""enaha'ima"", 'anahaimi', 'آناهايم', 'アナハイム', '阿納海姆', 'disneyland', 'एनाहाइम', 'anaheimas', 'anaheim', '安那罕', 'άναχαϊμ', 'אנהיים', 'a na hai mu', 'ایناہیم', 'disneyland ', 'अ\u200dॅनाहाइम', '애너하임', 'campo aleman', 'an na han', 'aeneohaim', 'anahaimu', 'անահայմ', 'אנאהיים', 'anahaima', 'anahaym', 'анахайм', 'آناهایم، کالیفرنیا', 'اناہیم، کیلیفورنیا', 'anakhajm', 'anahaym  kalyfrnya', 'ანაჰაიმი', 'анахајм', 'ana', 'anachaim'}"
bengaluru	IN	{'బెంగళూరు'}	1277333	2	PPLA	12.97194	77.59369000000001	19	572	5104047.0	"{'bangalore - ಬೆಂಗಳೂರು', 'бангалор', 'bang kha l xr', 'bangalora', 'benguluru', 'bangaroru', '뱅걸로', 'bnghalwr', 'బెంగుళూరు', 'bengaluras', 'blr', 'bengaluro', 'ဘန်ဂလိုမြို့', 'बेङ्गळूरु', 'bangalur', 'بینگلور', 'bagalaura', 'bengalúru', 'bangalúr', 'ବେଙ୍ଗାଳୁରୁ', 'बेङ्गलोर', 'bengalora', 'בנגלור', 'बंगळूर', 'بنغالور', 'bengalūras', 'bangalore - bengaluru', 'bangalura', 'বেঙ্গালুরু', 'bengalūru', 'bengaluru', 'বাঙ্গালোর', 'bang-galloleu', 'bangaluri', 'બેંગલોર', 'بنگلور', ""ban'nkalor"", '벵갈루루', 'बेङ्गलूरु', 'baeng-geollo', 'బెంగళూరు', 'bangalore', 'бенгалуру', 'ബെംഗളൂരു', 'beng-gallulu', 'பெங்களூர்', 'bengalour', 'μπανγκαλόρ', 'bnglwr', 'bangalaura', 'ਬੰਗਲੌਰ', 'बंगलौर', 'ბენგალურუ', 'penkalur', 'බැංගලෝර්', 'bynglwr', 'bangalor', '班加罗尔', 'bangalore city', 'бенґалуру', '班加羅爾', 'bengalurus', 'ban jia luo er', 'ಬೆಂಗಳೂರು', '방갈로르', 'บังคาลอร์', 'バンガロール'}"
boston	US	{'boston,mass'}	4930956	2	PPLA	42.35843	-71.05977	MA	025	667137.0	{'באסטאן', 'shawmut', 'ಬಾಸ್ಟನ್', 'బోస్టన్', 'bostono', 'mushauwomuk', 'bosuton', 'bostona', 'bastan', 'bastana', 'bausatana', 'po-su-tun', 'བོ་སེ་ཊོན།', 'বস্টন', 'wahstoronon:ke', 'بوسٹن', 'बास्टन्', '波士顿', 'wastok', 'бостон', 'பாஸ்டன்', 'boseuteon', 'بۆستن', 'bos', 'бостън', 'totant', 'pokekona', 'trimountain', 'ბოსტონი', 'ቦስቶን', 'բոստոն', 'ဘော့စတွန်မြို့', 'beasrraൺ', 'pô-sṳ-tun', 'बोस्टन', 'ボストン', 'bostan', 'בוסטון', 'बॉस्टन', 'boston,mass', 'бостан', 'old boston', 'bostonas', 'shawnnut', 'bostana', 'shawmutt', 'bostone', 'tremont', 'trimountaine', 'ബോസ്റ്റൺ', '波士頓', 'mass', 'bostún', 'wahstoronòn:ke', 'bxstan', 'bo shi dun', 'बस्तन', 'bwstn', 'tramount', 'بوسطن', 'bostʼoni', 'bostons', 'boston', 'vostoni', 'บอสตัน', 'bwstwn', 'ਬੌਸਟਨ', 'baston', '보스턴', 'βοστώνη', 'βοστωνη', 'bostun', 'bostonia', 'ܒܘܣܛܘܢ', 'بوستون', 'pastan'}
chiba	JP	{'千葉県'}	2113015	2	PPLA	35.6	140.11667	04	2113012	919729.0	{'čiba', 'チバシ', '千葉', '千葉県', '千葉県\u3000', 'chiba-shi', 'ちばし', '지바 시', 'qcb', 'qian ye shi', 'chibashi', 'chiba', 'tiba', 'qian ye', 'ĉiba', '千葉市', 'ciba', 'tshyba', 'ちば', '千葉県 ', 'チバ', 'تشيبا', 'jiba si', 'чиба'}
germany	DE	{'germany/berlin'}	2921044	1	PCL					82927922.0	{'germany', 'germany/berlin'}
granada	NI	{'centroamérica'}	3619136	2	PPLA	11.92988	-85.95602	06		89409.0	{'granadae', 'centroamérica', 'centroamérica. ', 'гренада', 'guranada', 'granada', 'grynada  nkaragwa', 'γρανάδα', 'グラナダ', 'grenada', 'centroamérica.', 'гранада', 'гранадæ', '그라나다', 'ge la na da', 'გრანადა', 'centroamérica ', 'گرینادا، نکاراگوا', 'granado', 'geulanada', '格拉纳达'}
gricourt	FR	{'gurugram'}	3014669	9	PPL	49.88735	3.24376	32	02	703.0	{'gurugram ', 'gurugram', 'gricourt', 'gurugram.', 'gurugram. '}
hemet	US	{'#cdmx'}	5356277	9	PPL	33.747609999999995	-116.97306999999999	CA	065	83861.0	{'hemet', 'hmt  kalyfrnya', 'hemicia', 'хемет', 'khemet', 'ہیمٹ', 'he mi te', 'हेमेट', 'همت، کالیفرنیا', 'هيميت', 'ہیمٹ، کیلیفورنیا', '#cdmx ', '赫米特', '#cdmx', 'hemeta', 'hymyt', 'hmt'}
india	IN	{'𝗕𝗵𝘂𝗯𝗮𝗻𝗲𝘀𝗵𝘄𝗮𝗿,india'}	1269750	1	PCL					1352617328.0	{'india', '𝗕𝗵𝘂𝗯𝗮𝗻𝗲𝘀𝗵𝘄𝗮𝗿,india', '𝗕𝗵𝘂𝗯𝗮𝗻𝗲𝘀𝗵𝘄𝗮𝗿'}
izmir	TR	{'i̇zmir'}	311046	2	PPLA	38.412729999999996	27.138379999999998	35		2500603.0	{'yi zi mi er', 'σμύρνη', 'smyrne', 'ismir', 'измир', 'izmiro', 'yazmir', 'smirne', 'izm', 'izmira', ' i̇zmir ', 'izmir', 'azmir', 'איזמיר', 'i̇zmir ', 'izmiri', 'イズミル', '伊兹密尔', 'smyrna', 'izumiru', 'إزمير', ' i̇zmir', 'esmirna', 'იზმირი', 'i̇zmir', 'azmyr', 'izmiras'}
japan	JP	{'japao'}	1861060	1	PCL					126529100.0	{'japan', 'japao'}
kamp-lintfort	DE	{'norddeutschland'}	2893264	9	PPL	51.504670000000004	6.54587	07	051	39490.0	{'kamp-lintfort', 'kmp-lyntfwrt', 'камп-линтфорт', 'lapangan terbang kamp-lintfort', 'کمپ-لینتفورت', '坎普-林特福尔特', 'كامب-لينتفورت', 'norddeutschland.', 'norddeutschland ', 'norddeutschland', 'kamb-lyntfwrt', 'kan pu-lin te fu er te', 'камп-лінтфорт'}
labrit	FR	{'ailleurs'}	3010782	9	PPL	44.10521	-0.5452	75	40	778.0	{'labrit', 'ailleurs  ', 'ailleurs.', 'ailleurs', ' ailleurs', 'ailleurs...', 'ailleurs '}
lugo di vicenza	IT	{'peronia'}	6534661	5	PPLA3	45.7455	11.52869	20	VI	2397.0	{'peronia', 'peronia ', 'peronia.', 'peronia. ', 'lugo di vicenza', 'peronia                   '}
metro	ID	"{""'merica""}"	1635283	9	PPL	-5.11306	105.30667	15		149526.0	"{'метро', ""'merica "", 'kota metro', ""'merica"", 'metro', ""'merica."", 'metra'}"
metzervisse	FR	{'midgard'}	2994155	9	PPL	49.31476	6.282769999999999	44	57	1407.0	{'梅特泽尔维斯', 'midgard.', 'متسرویسه', 'midgard ', 'mecerviss', 'мецервісс', 'metzervisse', 'mtsrwysh', 'midgard', 'metzerwiesen', 'mei te ze er wei si', 'мецервисс'}
midland	US	{'mid-michigan'}	5526337	3	PPLA2	31.99735	-102.07791	TX	329	132950.0	{'מידלנד', 'mdland', 'midland', 'мидланд', 'میدلند، تگزاس', 'мідленд', 'mid-michigan', 'mydlnd', 'midlend', '미들랜드', 'midway', 'mydlnd  tgzas', 'middorando', 'maf', 'مدلاند', 'ミッドランド', 'мидленд', 'mi de lan', '米德蘭', 'مڈلینڈ، ٹیکساس', 'mideullaendeu'}
mons	BE	{'francophonie'}	2790869	9	PPL	50.45413	3.95229	WAL	WHT	91277.0	{'माँस', 'מונס', 'monsa', 'monsas', 'mwn', 'monsu', 'مونس', 'bergn', 'montes', 'มงส์', 'mngs', 'francophonie', 'mont', 'berge', 'モンス', 'mon', 'mwns', 'meng si', 'mons', 'μονς', 'مون', 'монс', 'մոնս', '몽스', 'mongseu', 'mamsa', '蒙斯', 'bergen'}
morelia	MX	{'lima-perú', 'lima-peru'}	3995402	2	PPLA	19.700779999999998	-101.18443	16	053	597511.0	{'morelija', 'moreria', 'morelia', 'mwrlyh', 'морелія', 'მორელია', 'lima-perú', 'морелија', 'lima-peru ', 'מורליה', 'موريليا', 'морелия', 'モレリア', 'mo lei li ya', 'mx re leiy', 'มอเรเลีย', 'mlm', '莫雷利亚', 'mwrlya  mychwakan', 'lima-.peru', '모렐리아', 'mwrylya', 'մորելիա', 'molellia', 'مورلیا، میچوآکان', 'موریلیا', 'lima-perú.', 'lima-perú ', 'lima-peru'}
panama	PA	{'#panamá'}	3703430	1	PCL					4176873.0	{'#panamá ', '#panamá', 'panama'}
port harcourt	NG	{'portharcourt'}	2324774	2	PPLA	4.777419999999999	7.0134	50	33022	1148665.0	{'ugwu ọcha', 'порт-харкорт', 'порт харкурт', 'port kharkurt', 'פורט הרקורט', 'portharcourt.', 'ha ke te gang', 'portharcourt', '포트하커트', 'pwrt hrqwrt', 'port harkortas', 'bwrt harkwrt', 'port-kharkort', 'poteuhakeoteu', '哈科特港', 'portharcourt ', 'بورت هاركورت', 'port harcourt', 'potohakoto', 'ugwu ocha', 'ポートハーコート', 'phc'}
quito	EC	{'quito-ecuador'}	3652462	4	PPLC	-0.22985	-78.52495	18	1701	1399814.0	{'quitu', 'kita', 'کوئتو', 'կիտո', '基多', 'கித்தோ', 'kvirrea', 'ji duo', 'ਕੀਤੋ', 'кіто', 'کیٹو', 'کیتو', 'qytw', 'كىتو', 'kvito', 'كيتو', 'kytw', 'kwytw', 'ཁེ་ཐོ།', 'ക്വിറ്റോ', 'kitas', 'קיטא', 'กีโต', 'san francisco de quito', 'uio', 'quito-ecuador', 'क्वितो', 'кито', '키토', 'quito', 'ኪቶ', 'quitum', 'quito-ecuador.', 'kitu', 'kitto', 'क्वीटो', 'kuito', 'ki to', 'κίτο', 'кіта', 'קיטו', 'kito', 'კიტო', 'キト', 'quito-ecuador '}
saint-denis	FR	{'seine-saint-denis'}	2980916	5	PPLA3	48.93564	2.35387	11	93	96128.0	{'sanctus dionysius', 'سینٹ-ڈینس', 'san dwny', 'сен дени', 'kamuna sen-dehni', 'サン＝ドニ', 'камуна сен-дэні', 'sendeni', 'sen-deni', 'san=doni', 'saint-denis', 'saengdeuni', 'сен-дени', 'sn-dny', 'sendenī', 'seine-saint-denis ', 'sheng dan ni', 'سن-دنی', 'σαιν-ντενί', 'سان دوني', 'सेंट डेनिस', '생드니', 'सेंत-देनिस', 'senta denisa', 'sain-nteni', 'сен-дені', 'แซ็ง-เดอนี', 'seine-saint-denis', 'sen deni', 'ساں ڈینس', '聖但尼', 'senta-denisa'}
san antonio	US	{'konoha'}	4726206	3	PPLA2	29.424120000000002	-98.49363000000001	TX	029	1469845.0	"{'konoha.....', 'сан-антоніо', 'konoha  ', ""sana antoni'o"", 'sena amtoniyo', 'saen-antonio', 'сан антонио', 'saina entoniyo', 'san-antonia', 'san antonio (texas)', 'san-antonio', 'sheng an dong ni ao', 'can antoniyo', 'san-antʼonio', 'סן אנטוניו', 'san antonio', 'konoha', 'san antonio de bejar', 'சான் அந்தோனியோ', '샌안토니오', 'แซนแอนโทนีโอ', 'sat', 'سان انٹونیو', 'サンアントニオ', 'san antoniyo', 'san antwnyw', 'сан-антонио', 'sanantonio', 'san antònio', '聖安東尼奧', 'סאן אנטאניא', 'konoha.', 'सॅन अँटोनियो', 'স্যান অ্যান্টোনিও', 'శాన్ అంటోనియో', 'സാൻ അന്റോണിയോ', 'σαν αντόνιο', 'सैन एन्टोनियो', 'ਸਾਨ ਆਂਤੋਨੀਓ', 'сан-антоніа', 'sanctus antonius', 'سان آنتونیو', 'სან-ანტონიო', 'سان أنطونيو', 'սան անտոնիո', 'konoha ', 'san antonijus', '圣安东尼奥', ""san'antonio""}"
toronto	CA	{'lasgidi'}	6167865	2	PPLA	43.700109999999995	-79.4163	08		2600000.0	{'토론토', 'tho rxn to', 'taronta', 'toramto', 'טאראנטא', 'టొరంటో', 'โทรอนโต', 'တိုရွန်တိုမြို့', ' lasgidi', 'トロント', '多伦多', 'roranro', 'տորոնտո', 'ٹورنٹو', 'tolonto', 'torontu', 'torontó', 'teareantea', 'torontum', 'ٹورانٹو', 'ਟੋਰਾਂਟੋ', 'lasgidi. ', 'twrwntw', 'duo lun duo', 'lasgidi ', 'تورنتو', 'lasgidi.', 'lasgidi..', 'ಟೊರಾಂಟೋ', '多倫多', 'तोरन्तो', 'torontas', 'τορόντο', 'تورونتو', 'yto', 'ტორონტო', 'टोरण्टो', 'twrntw', 'taronto', 'lasgidi', 'таронта', 'торонто', 'טורונטו', 'ரொறன்ரோ', 'toronto', 'toranto', 'ടോറോണ്ടോ', 'टोराँटो', 'টরোন্টো', 'lasgidi...', 'टोरन्टो'}
turkey	TR	{'türki̇ye'}	298795	1	PCL					82319724.0	{'türki̇ye ', 'turkey', 'türki̇ye', 'türki̇ye...'}
tyndall	CA	{'santiago-chile'}	6171515	9	PPL	50.0828	-96.6589	03		935.0	{'santiago-chile', 'santiago-chile.', 'tyndall-garson', 'santiago-chile ', 'tyndall', ' santiago-chile'}
united states	US	{'undisclosed', 'bharatavarsha', 'palashabrigaibandha', 'messina31', '𝑬𝒖𝒔𝒌𝒂𝒅𝒊', '#riseupathousandtimes', 'israelashdod', '#lovinleeds'}	6252001	1	PCL					327167434.0	{'undisclosed. ', 'palashabrigaibandha', 'messina31', 'undisclosed.', '𝑬𝒖𝒔𝒌𝒂𝒅𝒊', 'palashabri.gaibandha', 'undisclosed ', '#lovinleeds', 'undisclosed', 'bharatavarsha', '#riseupathousandtimes ', 'israel.ashdod', '#riseupathousandtimes', 'united states', 'israelashdod', ' undisclosed'}
villeneuve-sur-lot	FR	"{""r'lyeh""}"	2968515	5	PPLA3	44.40854	0.70415	75	47	25869.0	"{'vilnev sir lot', 'wy nw swrlw', '빌뇌브쉬르로트', 'vu~irunuvu=shuru=rotto', 'вильнёв-сюр-ло', 'vilanueva dolt', 'وی نو سورلو', 'villeneuve-sur-lot', 'vilanuèva dòlt', 'вильнев-сюр-лот', 'вилнев сир лот', 'luo te he pan xin cheng', ""r'lyeh."", 'vilanueva dagen', 'villeneuve', 'bilnoebeuswileuloteu', ""r'lyeh"", 'вільнев-сюр-лот', '洛特河畔新城', ""vil'njov-sjur-lo"", ""r'lyeh "", 'villanova ad oltem', ""vil'nev-sjur-lo"", ""vil'nev-sjur-lot"", 'vilanuèva dagen', 'วีลเนิฟว์-ซูร์-ล็อต', 'ヴィルヌーヴ＝シュル＝ロット', 'вильнев-сюр-ло', 'wilneifw-sur-lxt'}"
zaanstad	NL	{'lanzarote'}	2744114	9	PPL	52.45313	4.81356	07	0479	140085.0	{'lanzarote ', 'zaanstad', 'lanzarote. ', 'lanzarote'}
