	id	created_ts	text	user.name	location	verified	entities	RT	quoted_text
0	1235697196596695053	2020-03-05 22:42:24	RT @Cryptomee: Lessons from the first ten days of the COVID-19 outbreak in Lombardy, Prof. Maurizio Cecconi, Prof. Antonio Pesenti, Prof. G…	Debra Jones	None	False	{u'user_mentions': [{u'id': 1249991250, u'indices': [3, 13], u'id_str': u'1249991250', u'screen_name': u'Cryptomee', u'name': u'EOSIO Flanders'}], u'symbols': [], u'hashtags': [], u'urls': []}	1	
1	1235697197389242369	2020-03-05 22:42:24	RT @aa_tweeter: Kamala daughter of slave owners who illegally overcrowded her prisons w/ minorities &amp; then used them for slave labor is now…	Sean Shammity	None	False	{u'user_mentions': [{u'id': 3973087414, u'indices': [3, 14], u'id_str': u'3973087414', u'screen_name': u'aa_tweeter', u'name': u'A\u0335\u0341\u0322\u0319\u0349\u032b \U0001d42b \U0001d41d \U0001d422 \U0001d427 \u2264\u2265 \U0001f310'}], u'symbols': [], u'hashtags': [], u'urls': []}	1	"Sen. Kamala Harris requests the Bureau of Prisons provide information about coronavirus preparation in prisons.  “The risk of community spread poses a critical and unique threat to vulnerable populations, including those in our prisons and jails."" https://t.co/B7JpFHxKl4"
2	1235697202661490689	2020-03-05 22:42:25	I’M READY, ARE YOU? Interim Guidance: Get Your Household Ready for Coronavirus Disease 2019 (COVID-19) https://t.co/f0gjci0R6J	John Riley	Virginia	False	{u'user_mentions': [], u'symbols': [], u'hashtags': [], u'urls': [{u'url': u'https://t.co/f0gjci0R6J', u'indices': [103, 126], u'expanded_url': u'https://www.cdc.gov/coronavirus/2019-ncov/community/home/get-your-household-ready-for-COVID-19.html', u'display_url': u'cdc.gov/coronavirus/20\u2026'}]}	0	
3	1235697227156217856	2020-03-05 22:42:31	RT @trueDennisNedry: 10% of #COVID19 cases in Italy are in ICU. Imagine what that would do to Canada's hospital system? It already has the…	OnlyJackTripper	None	False	{u'user_mentions': [{u'id': 1187526388930306049, u'indices': [3, 19], u'id_str': u'1187526388930306049', u'screen_name': u'trueDennisNedry', u'name': u'Dennis Nedry'}], u'symbols': [], u'hashtags': [{u'indices': [28, 36], u'text': u'COVID19'}], u'urls': []}	1	10% of COVID patients in intensive care unit…  Message from the ESICM President &amp; colleagues in Northern Italy: GET READY  https://t.co/ow48KWxU55 https://t.co/47UtsRbc8O
4	1235697231581282306	2020-03-05 22:42:32	@DarblesM Hi, Darbs!!! I saw on the news that Washington recommends anyone over 60 to stay home! I swear it’s so difficult to know what’s true. I’m glad you’re doing ok. I’m praying for you. I’d ready for that virus to disappear. ❤️	Messy Cupcakes	None	False	{u'user_mentions': [{u'id': 996531308913283072, u'indices': [0, 9], u'id_str': u'996531308913283072', u'screen_name': u'DarblesM', u'name': u'Darbles_marbles'}], u'symbols': [], u'hashtags': [], u'urls': [{u'url': u'https://t.co/suG0Gd7XrF', u'indices': [117, 140], u'expanded_url': u'https://twitter.com/i/web/status/1235697231581282306', u'display_url': u'twitter.com/i/web/status/1\u2026'}]}	0	
5	1235697231824642048	2020-03-05 22:42:32	A nurse's husband just told me there is a case of #coronavirus at Baptist Hospital here in #Pensacola, FL. I can't confirm it yet. Hope y'all are prepped &amp; ready.	👓 Lois Griffin 😺	Pensacola, Florida	False	{u'user_mentions': [], u'symbols': [], u'hashtags': [{u'indices': [50, 62], u'text': u'coronavirus'}, {u'indices': [91, 101], u'text': u'Pensacola'}], u'urls': [{u'url': u'https://t.co/ddWeAKThmG', u'indices': [116, 139], u'expanded_url': u'https://twitter.com/i/web/status/1235697231824642048', u'display_url': u'twitter.com/i/web/status/1\u2026'}]}	0	
6	1235697233326194689	2020-03-05 22:42:33	RT @NYCMayorsOffice: Take an exclusive look inside the meetings New York City leaders have been running to prepare for COVID-19: https://t.…	Abigail Marcus	New York	False	"{u'user_mentions': [{u'id': 55338739, u'indices': [3, 19], u'id_str': u'55338739', u'screen_name': u'NYCMayorsOffice', u'name': u""NYC Mayor's Office""}], u'symbols': [], u'hashtags': [], u'urls': []}"	1	
7	1235697237541314560	2020-03-05 22:42:34	Things to NOT do while ATEEZ get ready for their tour again   - do NOT mob at the airports especially with cases of the coronavirus increasing daily . Its not safe .   - following them outside unofficial scheduling ( running into them randomly is different) . I mean in the	hannah ☁️ kick it	Los Angeles, CA	False	{u'user_mentions': [], u'symbols': [], u'hashtags': [], u'urls': [{u'url': u'https://t.co/NTBRqgN99Z', u'indices': [117, 140], u'expanded_url': u'https://twitter.com/i/web/status/1235697237541314560', u'display_url': u'twitter.com/i/web/status/1\u2026'}]}	0	
8	1235697238099156993	2020-03-05 22:42:34	RT @MadamEarth: AND YET THIS FUCKIN GOVERNMENT HAS DONE FUCK ALL TO PREPARE US AND THE COUNTRY. If they think #coronavirus is the worse thr…	🔥💀🦇𝙽𝚎𝚘𝚗𝙵𝚊𝚎𝚛𝚒𝚎𝚁𝚎𝚗🐝♻🌏	Gunaikurnai Land	False	{u'user_mentions': [{u'id': 968842541222084610, u'indices': [3, 14], u'id_str': u'968842541222084610', u'screen_name': u'MadamEarth', u'name': u'MADAM IS ABSOFUCKINLUTELY LIVID\U0001f92c\U0001f92c'}], u'symbols': [], u'hashtags': [{u'indices': [110, 122], u'text': u'coronavirus'}], u'urls': []}	1	"""There is a key difference between coronavirus and climate crisis, of course, and it is shame. “We didn’t know coronavirus was coming,” says Stirling. “We’ve known the climate crisis was on the cards for 30 or 40 years.”"" https://t.co/Dlz3aanZC8"
9	1235697238539673601	2020-03-05 22:42:34	RT @Seattle2019nCov: HAPPY STORY ALERT: @UW @UWVirology has developed it's own #COVID19 test &amp; expects to be testing 1k-1.5k people per day…	Notmy Prez	None	False	{u'user_mentions': [{u'id': 1224491742319140864, u'indices': [3, 19], u'id_str': u'1224491742319140864', u'screen_name': u'Seattle2019nCov', u'name': u'Seattle Coronavirus Updates'}, {u'id': 27103822, u'indices': [40, 43], u'id_str': u'27103822', u'screen_name': u'UW', u'name': u'University of Washington'}, {u'id': 1107739623747276800, u'indices': [44, 55], u'id_str': u'1107739623747276800', u'screen_name': u'UWVirology', u'name': u'UW Virology'}], u'symbols': [], u'hashtags': [{u'indices': [79, 87], u'text': u'COVID19'}], u'urls': []}	1	
