	id	created_ts	text	user.name	location	verified	entities	RT	quoted_text
24	1235697315786010624	2020-03-05 22:42:52	RT @WHO: WHO is mobilizing the 🌍🌏🌎 to help all people Be Ready for the new #coronavirus. We are calling on our partners &amp; people in all cou…	🌟PatriotsGirl🌟🎨🎉🎶📚🏈💃	None	False	{u'user_mentions': [{u'id': 14499829, u'indices': [3, 7], u'id_str': u'14499829', u'screen_name': u'WHO', u'name': u'World Health Organization (WHO)'}], u'symbols': [], u'hashtags': [{u'indices': [75, 87], u'text': u'coronavirus'}], u'urls': []}	1
82	1235697611484487680	2020-03-05 22:44:03	The recipes are everywhere online with instructions on how to make your own hand sanitizer as people prepare for COVID-19. @Gadget_Guy with what you need to know before you slather on your own concoction. https://t.co/52Sfm3NQVY	CityNews Edmonton	Edmonton, Alberta	False	{u'user_mentions': [], u'symbols': [], u'hashtags': [], u'urls': [{u'url': u'https://t.co/gUqagdWyGB', u'indices': [117, 140], u'expanded_url': u'https://twitter.com/i/web/status/1235697611484487680', u'display_url': u'twitter.com/i/web/status/1\u2026'}]}	0	
141	1235698090071322624	2020-03-05 22:45:57	RT @kadiagoba: Sen. Kamala Harris requests the Bureau of Prisons provide information about coronavirus preparation in prisons.  “The risk o…	kmf	NorCal	False	{u'user_mentions': [{u'id': 4462528175, u'indices': [3, 13], u'id_str': u'4462528175', u'screen_name': u'kadiagoba', u'name': u'Kadia Goba'}], u'symbols': [], u'hashtags': [], u'urls': []}	1	
154	1235698165652680705	2020-03-05 22:46:15	RT @kadiagoba: Sen. Kamala Harris requests the Bureau of Prisons provide information about coronavirus preparation in prisons.  “The risk o…	Jdbailey✍️	Longmont, CO	False	{u'user_mentions': [{u'id': 4462528175, u'indices': [3, 13], u'id_str': u'4462528175', u'screen_name': u'kadiagoba', u'name': u'Kadia Goba'}], u'symbols': [], u'hashtags': [], u'urls': []}	1	
288	1235699235963584512	2020-03-05 22:50:30	And we already know what ‘preparation’ will mean. Lock down, sack (moldy) lunches, no showers, no calls, no visits. Absolute hell.	La_Tisha_Conto	Home with cats	False	{u'user_mentions': [], u'symbols': [], u'hashtags': [], u'urls': [{u'url': u'https://t.co/eGHCaq3YwQ', u'indices': [117, 140], u'expanded_url': u'https://twitter.com/i/web/status/1235699235963584512', u'display_url': u'twitter.com/i/web/status/1\u2026'}]}	0	"Sen. Kamala Harris requests the Bureau of Prisons provide information about coronavirus preparation in prisons.  “The risk of community spread poses a critical and unique threat to vulnerable populations, including those in our prisons and jails."" https://t.co/B7JpFHxKl4"
354	1235699783404118016	2020-03-05 22:52:41	RT @HeavenOrHellGod: @B52Malmet Let this sink in Tweeps: More than six weeks ago we knew Coronavirus was coming. Since then we have done no…	Nick Anderson	South Dakota, USA	False	{u'user_mentions': [{u'id': 145709551, u'indices': [3, 19], u'id_str': u'145709551', u'screen_name': u'HeavenOrHellGod', u'name': u'Lez Parnas Not Chicken!'}, {u'id': 2876041031, u'indices': [21, 31], u'id_str': u'2876041031', u'screen_name': u'B52Malmet', u'name': u'Barbara Malmet'}], u'symbols': [], u'hashtags': [], u'urls': []}	1	
427	1235700275219849217	2020-03-05 22:54:38	RT @theno_44: I'm ready, coronavirus. Take me home. 💀	Dev 🐋	None	False	{u'user_mentions': [{u'id': 1561976947, u'indices': [3, 12], u'id_str': u'1561976947', u'screen_name': u'theno_44', u'name': u'The No. 44'}], u'symbols': [], u'hashtags': [], u'urls': []}	1	
512	1235700916352778240	2020-03-05 22:57:11	RT @jonst0kes: This is a good assumption, &amp; there's nothing wrong with it. The whole game -- 100% of it -- is to /not get it at the same ti…	Komrade J	Urban Hellscape	False	{u'user_mentions': [{u'id': 15294170, u'indices': [3, 13], u'id_str': u'15294170', u'screen_name': u'jonst0kes', u'name': u'Jon Stokes'}], u'symbols': [], u'hashtags': [], u'urls': []}	1	Ok is anyone else just resigned to the fact that they’re going to get coronavirus?
588	1235701480243392513	2020-03-05 22:59:25	If you think your health system is prepared for #COVID19, think again. See message from the ESICM President &amp; colleagues in Northern Italy: GET READY	Boundless helper 😷	None	False	{u'user_mentions': [], u'symbols': [], u'hashtags': [{u'indices': [48, 56], u'text': u'COVID19'}], u'urls': [{u'url': u'https://t.co/wxBUrtBpQw', u'indices': [121, 144], u'expanded_url': u'https://twitter.com/i/web/status/1235701480243392513', u'display_url': u'twitter.com/i/web/status/1\u2026'}]}	0	10% of COVID patients in intensive care unit…  Message from the ESICM President &amp; colleagues in Northern Italy: GET READY  https://t.co/ow48KWxU55 https://t.co/47UtsRbc8O
725	1235702450817871872	2020-03-05 23:03:17	RT @kadiagoba: Sen. Kamala Harris requests the Bureau of Prisons provide information about coronavirus preparation in prisons.  “The risk o…	Sharon B	apache junction,az	False	{u'user_mentions': [{u'id': 4462528175, u'indices': [3, 13], u'id_str': u'4462528175', u'screen_name': u'kadiagoba', u'name': u'Kadia Goba'}], u'symbols': [], u'hashtags': [], u'urls': []}	1	
769	1235702774685257728	2020-03-05 23:04:34	RT @B52Malmet: The 25th amendment is way over due, but Pence and the Cabinet of Horrors will just watch Americans die instead. Every one of…	Barbara Edema	DeWitt, MI	False	{u'user_mentions': [{u'id': 2876041031, u'indices': [3, 13], u'id_str': u'2876041031', u'screen_name': u'B52Malmet', u'name': u'Barbara Malmet'}], u'symbols': [], u'hashtags': [], u'urls': []}	1	@B52Malmet Let this sink in Tweeps: More than six weeks ago we knew Coronavirus was coming. Since then we have done nothing to prepare and our President has actually tried to hide our Lack of Preparation. We are now facing a crisis of proportions never seen in our country. #25thAmendmentNow https://t.co/m0PM3QdIdt
